ID,EMPRESA,Setor primário,SSL/TLS enabled,Responsive
474,Casa do Pão De Queijo,Alimentos e Bebidas,False,False
475,Casan,Saneamento e Meio Ambiente,True,False
476,Via,Atacado e Varejo,True,True
477,Cassems,Operadoras de Planos de Saúde,True,True
478,Castrolanda,Cooperativas,False,True
479,Cateno Gestão,Tecnologia e Telecomunicações,True,True
480,Cattalini,"Transporte, Logística e Serviços Logísticos",True,False
481,CBA,"Siderurgia, Mineração e Metalurgia",True,True
482,Construtora Barbosa Mello,Imobiliário e Construção Civil,True,False
483,CCR Metrô Bahia,"Transporte, Logística e Serviços Logísticos",True,False
484,CCS Tecnologia e Serviços,"Siderurgia, Mineração e Metalurgia",True,True
485,C&A,Moda e Vestuário,True,True
486,CEB,Energia,True,
487,Cegas,Energia,,
488,Celesc Distribuição,Energia,True,True
489,Cemig,Energia,True,
490,Cencosud,Atacado e Varejo,True,False
491,Centauro Esporte,Moda e Vestuário,True,
492,Cerradinho Bioenergia,Energia,True,False
493,Neomille,Agronegócio,True,False
494,Cesp,Energia,True,True
495,Banco GM,Bancos,True,
496,Chubb,Seguradoras,True,False
497,CI&T Software,Tecnologia e Telecomunicações,True,True
498,Cia Müller,Alimentos e Bebidas,False,True
499,Cibrafertil,Agronegócio,True,False
500,Cielo,Serviços Financeiros,True,
501,Cimento Itambé,Imobiliário e Construção Civil,True,True
502,Cirion,Tecnologia e Telecomunicações,True,True
503,Companhia Melhoramentos Norte do Paraná,Energia,True,False
504,Banco CNH Industrial Capital,Bancos,True,False
505,CNP Consórcio,Serviços Financeiros,True,True
506,Coamo,Cooperativas,True,True
507,Coca-Cola,Alimentos e Bebidas,True,True
508,Cocamar,Cooperativas,True,True
509,Cocari,Cooperativas,True,False
510,Colombo,Atacado e Varejo,True,True
511,Colombo Agroindústria,Agronegócio,False,False
512,Comerc Energia LP,Energia,True,True
513,Comgás,Energia,True,True
514,Compagas,Energia,True,True
515,Compass,Energia,True,False
516,Energisa MT,Energia,True,True
517,Cooperalfa,Cooperativas,True,True
518,Cooxupé,Cooperativas,True,False
519,Copacol,Cooperativas,True,True
520,Copa Energia / Copagaz,Energia,True,True
521,Copasa,Saneamento e Meio Ambiente,True,True
522,Copasul,Cooperativas,True,True
523,Corinthians,Participações e Mídia,True,False
524,Seguros Unimed,Operadoras de Planos de Saúde,True,
525,Corsan,Saneamento e Meio Ambiente,False,True
526,Cosan,Energia,True,False
527,CPFL,Energia,True,
528,CP Kelco,Petróleo e Químico,True,True
529,CPTM,"Transporte, Logística e Serviços Logísticos",True,True
530,Crasa Infra,Imobiliário e Construção Civil,True,True
531,Cras Brasil,Agronegócio,,
532,CRBS,Atacado e Varejo,True,True
533,Banco Crefisa,Bancos,True,
534,CRS Brands Indústria e Comércio,Alimentos e Bebidas,False,False
535,Cruzeiro do Sul,Educação,True,
536,CSN,"Siderurgia, Mineração e Metalurgia",True,False
537,CTG Brasil,Energia,True,True
538,CVC Viagens,"Transporte, Logística e Serviços Logísticos",True,
539,Cyrela,Imobiliário e Construção Civil,True,
540,Calçados Dakota,Moda e Vestuário,True,True
541,Teracom Telemática,Tecnologia e Telecomunicações,True,True
542,Dataprev,Tecnologia e Telecomunicações,True,False
543,Banco Daycoval,Bancos,True,
544,Banco John Deere,Bancos,True,False
545,Desenbahia,Participações e Mídia,,
546,Desktop,Tecnologia e Telecomunicações,True,False
547,Deten Química,Petróleo e Químico,True,False
548,Dexxos Par,Petróleo e Químico,,
549,Diana Bioenergia,Agronegócio,,
550,Plano&Plano,Imobiliário e Construção Civil,True,True
551,Dimed,Farmacêutico e Beleza,True,False
552,Direcional Engenharia,Imobiliário e Construção Civil,True,True
553,Banco de Lage Landen Brasil,Bancos,False,False
554,Dotz,Serviços Financeiros,False,True
555,RaiaDrogasil,Saúde e Serviços de Saúde,True,
556,Drogaria São Paulo,Saúde e Serviços de Saúde,True,False
557,Pacheco,Saúde e Serviços de Saúde,True,
558,Duratex,Imobiliário e Construção Civil,True,True
559,Alto Vale do Rio Negro Participações,Participações e Mídia,True,True
560,EcoRodovias,"Transporte, Logística e Serviços Logísticos",True,
561,Engelhart CTP,Participações e Mídia,True,True
562,EDP Brasil,Energia,True,
567,EDP São Paulo,Energia,True,False
568,EDP SP-MG,Energia,True,False
569,Sociedade Beneficente Israelita Brasileira Hospital Albert Einstein,Saúde e Serviços de Saúde,True,True
570,Eldorado Brasil,Papel e Celulose,False,False
571,Elekeiroz,Petróleo e Químico,False,True
572,Centrais Elétricas do Norte,Energia,True,True
573,Eletronuclear,Energia,True,False
574,Embraport,"Transporte, Logística e Serviços Logísticos",True,False
575,EMS,Farmacêutico e Beleza,True,True
576,Enauta Energia,Petróleo e Químico,False,True
577,Enel Brasil,Energia,True,True
578,Energisa,Energia,True,
579,Engie,Energia,True,False
580,Enjoei,Tecnologia e Telecomunicações,False,True
581,Equatorial Energia,Energia,True,True
582,Esfera,Serviços Financeiros,True,
583,Esho,Saúde e Serviços de Saúde,True,False
584,O Estado de S. Paulo,Participações e Mídia,True,True
585,Allpark,"Transporte, Logística e Serviços Logísticos",True,True
586,Estrela,"Transporte, Logística e Serviços Logísticos",False,False
587,Brinquedos Estrela,Bens de Capital e Eletroeletrônicos,False,False
588,Eternit,Imobiliário e Construção Civil,True,True
589,Eucatex,Imobiliário e Construção Civil,True,True
590,Eurobike,"Transporte, Logística e Serviços Logísticos",True,True
591,Bradesco Auto,Seguradoras,True,False
592,Even,Imobiliário e Construção Civil,True,True
593,Eztec,Imobiliário e Construção Civil,True,
594,Facchini,Bens de Capital e Eletroeletrônicos,True,False
595,Fairfax,Seguradoras,True,True
596,Farmácias Nissei,Saúde e Serviços de Saúde,True,True
597,Fazenda Santa Maria,Agronegócio,True,False
598,Fábrica Carioca de Catalisadores,Petróleo e Químico,True,True
599,Ferbasa,"Siderurgia, Mineração e Metalurgia",True,False
600,Flamengo,Participações e Mídia,True,True
601,Fleury,Saúde e Serviços de Saúde,True,True
602,Fomento Paraná,Participações e Mídia,True,True
603,Fortbras,Atacado e Varejo,,
